Time,X,Y,Z,Phi,Theta,Psi,U,V,W,P,Q,R,Speed,Beta_c,Alpha_c,Chi,delta_r,delta_s,n_prop
34.62,70.9419507376126,23.58793312275569,14.132049413674004,1.3618293541526238,-8.430415393239223,33.899184507729814,2.3453238190423615,0.2567646054862466,-0.0076223017909214,0.1108876928087318,0.2157580088615792,0.8203318010534546,2.359349482014597,6.2478243056658735,-0.1862106126328597,40.147008813395686,0.0109838523207848,0.0304546573983117,1525.0
34.64,70.97760099213777,23.61808134203858,14.13889653116239,1.3615998862703698,-8.426493490474876,33.915855385051486,2.3453758847376043,0.2569063657283421,-0.007619539719153,0.1107309399921968,0.2156358382136894,0.8196438042979587,2.35941666071213,6.251108765201507,-0.1861390042812949,40.166964150252994,0.0109724694715608,0.0304418443001825,1525.0
34.660000000000004,71.01324212444916,23.648243109514578,14.145740725546307,1.3613704885281246,-8.422573635684419,33.93251211656655,2.345427918264696,0.2570480132457935,-0.0076167781478025,0.1105743603987477,0.2155137591889503,0.8189560043778471,2.3594838029108036,6.2543904017366225,-0.1860674138847755,40.18690251830315,0.0109610924201218,0.0304290366600993,1525.0
34.68,71.04887413751472,23.678418411174185,14.152581998140205,1.3611411612349622,-8.41865582726475,33.949154706792314,2.345479919599067,0.2571895480785511,-0.0076140170788277,0.1104179539772429,0.2153917715870384,0.8182684022944513,2.359550908571242,6.257669216704714,-0.185995841488898,40.206823923497026,0.0109497211824522,0.0304162344740874,1525.0
34.7,71.08449703431249,23.708607233016764,14.159420350257491,1.3609119046989129,-8.414740063617227,33.965783160265495,2.345531888716282,0.2573309702667597,-0.0076112565141747,0.1102617206760724,0.2152698752087251,0.8175809990458012,2.3596179776542487,6.260945211543363,-0.1859242871390552,40.22672837180886,0.0109383557744659,0.0304034377381821,1525.0
34.72,71.12011081783065,23.738809561050555,14.16625578321057,1.36068271922704,-8.410826343147622,33.982397481541994,2.3455838255920365,0.2574722798507582,-0.0076084964557777,0.1101056604431626,0.2151480698558703,0.8168937956266311,2.359685010120808,6.264218387694201,-0.1858527508802328,40.246615869236194,0.0109269962120063,0.0303906464484284,1525.0
34.74,71.15571549106745,23.769025381292693,14.173088298310812,1.3604536051253129,-8.406914664266068,33.99899767519698,2.345635730202158,0.2576134768710786,-0.0076057369055596,0.1099497732259785,0.2150263553314186,0.8162067930283841,2.359752005932084,6.267488746602905,-0.1857812327571622,40.266486421799854,0.0109156425108468,0.0303778606008852,1525.0
34.76,71.1913110570312,23.799254679769216,14.17991789686858,1.3602245626987086,-8.403005025387174,34.015583745824635,2.3456876025226063,0.257754561368445,-0.0076029778654314,0.1097940589715234,0.2149047314393981,0.8155199922392203,2.3598189650494197,6.270756289719198,-0.1857097328142695,40.286340035543866,0.0109042946866899,0.0303650801916251,1525.0
34.78,71.2268975187402,23.829497442515088,14.186744580193228,1.3599955922511355,-8.399097424929794,34.03215569803834,2.345739442529473,0.2578955333837726,-0.0076002193372925,0.1096385176263415,0.2147831979849163,0.8148333942440221,2.359885887434339,6.274021018496796,-0.1856382510957006,40.306176716535134,0.0108929527551679,0.0303523052167294,1525.0
34.800000000000004,71.26247487922276,23.85975365557421,14.193568349593097,1.3597666940855098,-8.395191861317137,34.048713536470366,2.345791250198981,0.2580363929581675,-0.0075974613230308,0.1094831491365194,0.214661754774155,0.8141470000244004,2.359952773048544,6.277282934393386,-0.1855667876452708,40.32599647086374,0.0108816167318431,0.0303395356722991,1525.0
